Opportunity_ID,target
10689,1
10690,1
10691,0
10692,0
10693,1
10694,1
10695,0
10696,0
10697,0
10698,0
10699,0
10700,0
10701,0
10702,0
10703,0
10704,0
10705,1
10706,1
10707,0
10708,1
10709,1
10710,1
10711,1
10712,1
10713,1
10714,1
10715,1
10716,1
10717,1
10718,1
10719,1
10720,1
10721,1
10722,0
10723,0
10724,0
10725,1
10726,1
10727,0
10728,1
10729,0
10730,0
10731,1
10732,1
10733,1
10734,1
10735,1
10736,1
10737,1
10738,0
10739,1
10740,1
10741,1
10742,0
10743,1
10744,0
10745,0
10746,0
10747,0
10748,1
10749,1
10750,0
10751,1
10752,1
10753,1
10754,1
10755,1
10756,1
10757,1
10758,1
10759,1
10760,1
10761,1
10762,1
10763,1
10764,1
10765,1
10766,0
10767,0
10768,1
10769,1
10770,1
10771,0
10772,0
10773,0
10774,0
10775,0
10776,0
10777,1
10778,1
10779,1
10780,0
10781,1
10782,1
10783,1
10784,1
10785,1
10786,1
10787,1
10788,0
10789,1
10790,0
10791,0
10792,1
10793,1
10794,1
10795,1
10796,1
10797,1
10798,0
10799,1
10800,1
10801,0
10802,1
10803,1
10804,0
10805,0
10806,1
10807,1
10808,1
10809,1
10810,1
10811,1
10812,1
10813,1
10814,1
10815,1
10816,1
10817,1
10818,1
10819,1
10820,1
10821,1
10822,1
10823,0
10824,1
10825,1
10826,1
10827,1
10828,0
10829,1
10830,1
10831,1
10832,1
10833,1
10834,1
10835,1
10836,1
10837,1
10838,1
10839,0
10840,1
10841,1
10842,0
10843,0
10844,0
10845,1
10846,1
10847,1
10848,1
10849,1
10850,1
10851,1
10852,1
10853,1
10854,1
10855,1
10856,1
10857,1
10858,1
10859,1
10860,1
10861,1
10862,1
10863,1
10864,1
10865,1
10866,1
10867,1
10868,1
10869,1
10870,1
10871,1
10872,1
10873,1
10874,0
10875,0
10876,0
10877,0
10878,1
10879,1
10880,1
10881,1
10882,0
10883,1
10884,1
10885,1
10886,1
10887,1
10888,1
10889,1
10890,1
10891,1
10892,1
10893,1
10894,1
10895,1
10896,0
10897,0
10898,1
10899,0
10900,1
10901,1
10902,0
10903,1
10904,1
10905,1
10906,1
10907,1
10908,1
10909,1
10910,1
10911,1
10912,0
10913,1
10914,1
10915,1
10916,1
10917,1
10918,1
10919,1
10920,1
10921,1
10922,0
10923,1
10924,1
10925,0
10926,1
10927,1
10928,1
10929,1
10930,0
10931,1
10932,1
10933,1
10934,1
10935,1
10936,0
10937,1
10938,1
10939,1
10940,1
10941,1
10942,1
10943,1
10944,1
10945,1
10946,1
10947,1
10948,1
10949,1
10950,1
10951,1
10952,0
10953,1
10954,0
10955,1
10956,1
10957,1
10958,1
10959,1
10960,1
10961,1
10962,1
10963,1
10964,1
10965,1
10966,1
10967,1
10968,1
10969,1
10970,1
10971,1
10972,0
10973,0
10974,1
10975,1
10976,0
10977,0
10978,1
10979,1
10980,1
10981,1
10982,1
10983,1
10984,0
10985,0
10986,0
10987,0
10988,1
10989,1
10990,0
10991,0
10992,0
10993,0
10994,1
10995,1
10996,1
10997,1
10998,1
10999,1
11000,1
11001,1
11002,0
11003,1
11004,1
11005,1
11006,0
11007,1
11008,1
11009,0
11010,0
11011,0
11012,1
