,Region,Total_Amount,TRF,Opportunity_Owner,Delivery_Year,Delivery_Quarter,"Pricing, Delivery_Terms_Approved","Pricing, Delivery_Terms_Quote_Appr",Decision,Promedio,Lag_1,Delta
1,EMEA,10.940740261872682,0,Other,2016,Q1,0,0,1,13.85134108974216,,16.188412853505927
180,EMEA,11.739921585599928,0,Other,2016,Q1,0,0,0,13.85134108974216,,16.188412853505927
182,EMEA,11.247114467336615,0,Other,2016,Q1,0,0,1,13.85134108974216,,16.188412853505927
183,EMEA,12.568870307318935,0,Other,2016,Q1,0,0,1,13.85134108974216,,16.188412853505927
184,EMEA,12.414719627491676,0,Other,2016,Q1,0,0,1,13.85134108974216,,16.188412853505927
185,EMEA,11.74983729700735,0,Other,2016,Q1,0,0,0,13.85134108974216,,16.188412853505927
194,Japan,11.37177471865317,0,Other,2016,Q1,0,0,1,13.85134108974216,,16.188412853505927
195,Japan,11.462053134596472,0,Other,2016,Q1,1,1,1,13.85134108974216,,16.188412853505927
196,Japan,5.788123623089952,0,Other,2016,Q1,1,1,1,13.85134108974216,,16.188412853505927
197,Japan,5.519859636495273,0,Other,2016,Q1,1,1,1,13.85134108974216,,16.188412853505927
198,Japan,2.444084655267745,0,Other,2016,Q1,1,1,1,13.85134108974216,,16.188412853505927
199,Japan,4.086312390524836,0,Other,2016,Q1,1,1,1,13.85134108974216,,16.188412853505927
200,Japan,2.3105532626432224,0,Other,2016,Q1,1,1,1,13.85134108974216,,16.188412853505927
201,Japan,2.731766727719526,0,Other,2016,Q1,1,1,1,13.85134108974216,,16.188412853505927
202,Japan,8.030084094267563,0,Other,2016,Q1,1,1,1,13.85134108974216,,16.188412853505927
203,Japan,13.433058729253055,1,Other,2016,Q1,0,0,1,13.85134108974216,,16.188412853505927
375,EMEA,11.68235173377845,0,Other,2016,Q1,0,0,1,13.85134108974216,,16.188412853505927
376,EMEA,11.68235173377845,0,Other,2016,Q1,0,0,1,13.85134108974216,,16.188412853505927
401,Japan,12.155200315156417,0,Other,2016,Q1,1,1,1,13.85134108974216,,16.188412853505927
416,EMEA,12.632416272543754,0,Other,2016,Q1,0,0,0,13.85134108974216,,16.188412853505927
419,EMEA,11.192054690153588,0,Other,2016,Q1,0,0,1,13.85134108974216,,16.188412853505927
442,Japan,5.2574953720277815,0,Other,2016,Q1,1,1,1,13.85134108974216,,16.188412853505927
443,Japan,5.878877986358416,0,Other,2016,Q1,1,1,1,13.85134108974216,,16.188412853505927
461,Americas,5.234312036572124,0,Other,2016,Q1,0,0,1,13.85134108974216,,16.188412853505927
1871,EMEA,10.418165745617609,0,Other,2016,Q1,0,0,1,13.85134108974216,,16.188412853505927
1872,EMEA,10.842679048696468,0,Other,2016,Q1,0,0,1,13.85134108974216,,16.188412853505927
1873,EMEA,10.77711083809088,0,Other,2016,Q1,0,0,1,13.85134108974216,,16.188412853505927
1874,EMEA,11.702880313919579,0,Other,2016,Q1,0,0,1,13.85134108974216,,16.188412853505927
1875,EMEA,11.702880313919579,0,Other,2016,Q1,0,0,1,13.85134108974216,,16.188412853505927
1876,EMEA,11.702880313919579,0,Other,2016,Q1,0,0,1,13.85134108974216,,16.188412853505927
1877,EMEA,10.64130929693182,0,Other,2016,Q1,0,0,1,13.85134108974216,,16.188412853505927
1878,EMEA,11.470258018650826,0,Other,2016,Q1,0,0,1,13.85134108974216,,16.188412853505927
1923,EMEA,13.271782882855685,1,Other,2016,Q1,0,1,0,13.85134108974216,,16.188412853505927
1930,EMEA,16.801198245648234,40,Other,2016,Q1,0,1,0,13.85134108974216,,16.188412853505927
1931,EMEA,16.513518756511594,30,Other,2016,Q1,0,1,0,13.85134108974216,,16.188412853505927
1932,EMEA,14.790078197930406,5,Other,2016,Q1,1,1,0,13.85134108974216,,16.188412853505927
2007,EMEA,10.786589582045425,0,Other,2016,Q1,0,0,1,13.85134108974216,,16.188412853505927
2081,EMEA,9.096519165400489,0,Other,2016,Q1,0,0,1,13.85134108974216,,16.188412853505927
2082,EMEA,11.789488448837533,0,Other,2016,Q1,0,0,1,13.85134108974216,,16.188412853505927
2153,APAC,11.377792790978733,0,Other,2016,Q1,1,1,1,13.85134108974216,,16.188412853505927
2162,Japan,10.764459720537321,0,Other,2016,Q1,1,1,1,13.85134108974216,,16.188412853505927
