,Region,Total_Amount,TRF,Opportunity_Owner,Delivery_Year,Delivery_Quarter,"Pricing, Delivery_Terms_Approved","Pricing, Delivery_Terms_Quote_Appr",Decision,Promedio_Region_Por_Quarter,Promedio_Owner_Por_Year_And_Quarter,Lag_1,Delta
1923,EMEA,13.271782882855685,1,Other,2016,Q1,0,1,0,13.892823535362705,13.271782882855685,,17.33086474831364
1593,EMEA,12.753459606942961,1,Other,2017,Q2,1,1,0,13.912927174883757,12.753459606942961,13.271782882855685,17.30631773472018
1817,EMEA,17.332958441552666,80,Other,2017,Q3,1,1,0,13.895475038093599,17.332958441552666,12.753459606942961,18.011205010458333
14286,APAC,13.386358818471926,2,Other,2018,Q4,0,0,0,14.012658972914792,13.386358818471926,17.332958441552666,0.0
2153,APAC,11.377792790978733,0,Person_Name_11,2016,Q1,1,1,1,14.255778718898966,12.723425562946538,,17.323550536986957
16184,APAC,11.658215577079574,0,Person_Name_11,2016,Q1,0,1,0,14.255778718898966,12.723425562946538,,17.323550536986957
16279,APAC,13.164778981454129,1,Person_Name_11,2016,Q1,0,1,0,14.255778718898966,12.723425562946538,,17.323550536986957
16280,APAC,12.257858318679403,0,Person_Name_11,2016,Q1,0,1,0,14.255778718898966,12.723425562946538,,17.323550536986957
16677,APAC,9.564512185696797,0,Person_Name_11,2016,Q1,0,0,0,14.255778718898966,12.723425562946538,,17.323550536986957
16680,APAC,13.617059619240436,0,Person_Name_11,2016,Q1,0,0,0,14.255778718898966,12.723425562946538,,17.323550536986957
16681,APAC,13.269182101155629,1,Person_Name_11,2016,Q1,0,0,0,14.255778718898966,12.723425562946538,,17.323550536986957
2202,APAC,15.484216878855435,10,Person_Name_11,2016,Q2,0,1,0,13.802682876290445,14.490925192131337,12.723425562946538,17.361575312755335
16179,APAC,13.256894270361935,1,Person_Name_11,2016,Q2,0,1,0,13.802682876290445,14.490925192131337,12.723425562946538,17.361575312755335
16678,APAC,9.755132545305447,0,Person_Name_11,2016,Q2,1,1,1,13.802682876290445,14.490925192131337,12.723425562946538,17.361575312755335
3422,APAC,11.606051442959712,0,Person_Name_11,2016,Q3,0,1,1,13.967495859036921,14.495542103376843,14.490925192131337,17.313724207779465
16183,APAC,13.256894270361935,1,Person_Name_11,2016,Q3,0,1,0,13.967495859036921,14.495542103376843,14.490925192131337,17.313724207779465
16297,APAC,14.902050265398115,5,Person_Name_11,2016,Q3,0,1,0,13.967495859036921,14.495542103376843,14.490925192131337,17.313724207779465
16298,APAC,15.2624295409006,0,Person_Name_11,2016,Q3,0,1,0,13.967495859036921,14.495542103376843,14.490925192131337,17.313724207779465
2154,APAC,14.519478977155803,4,Person_Name_11,2016,Q4,0,1,0,14.012658972914792,15.144080886488553,14.495542103376843,17.36653379716289
2155,APAC,16.818379405487583,37,Person_Name_11,2016,Q4,1,1,0,14.012658972914792,15.144080886488553,14.495542103376843,17.36653379716289
3423,APAC,10.184900011974314,0,Person_Name_11,2016,Q4,0,1,1,14.012658972914792,15.144080886488553,14.495542103376843,17.36653379716289
3424,APAC,15.201804919084164,0,Person_Name_11,2016,Q4,0,1,0,14.012658972914792,15.144080886488553,14.495542103376843,17.36653379716289
3425,APAC,16.118220643146472,20,Person_Name_11,2016,Q4,0,1,0,14.012658972914792,15.144080886488553,14.495542103376843,17.36653379716289
3429,APAC,13.964130543085213,2,Person_Name_11,2016,Q4,0,0,0,14.012658972914792,15.144080886488553,14.495542103376843,17.36653379716289
3819,APAC,12.966177294215,1,Person_Name_11,2016,Q4,1,1,0,14.012658972914792,15.144080886488553,14.495542103376843,17.36653379716289
4095,APAC,12.346595168156046,1,Person_Name_11,2016,Q4,0,1,1,14.012658972914792,15.144080886488553,14.495542103376843,17.36653379716289
4948,APAC,10.67712426400616,0,Person_Name_11,2016,Q4,1,1,1,14.012658972914792,15.144080886488553,14.495542103376843,17.36653379716289
5070,APAC,11.337946882431533,0,Person_Name_11,2016,Q4,1,1,1,14.012658972914792,15.144080886488553,14.495542103376843,17.36653379716289
16180,APAC,15.2624295409006,0,Person_Name_11,2016,Q4,0,1,0,14.012658972914792,15.144080886488553,14.495542103376843,17.36653379716289
16181,APAC,14.886936627588067,5,Person_Name_11,2016,Q4,0,1,0,14.012658972914792,15.144080886488553,14.495542103376843,17.36653379716289
1524,APAC,8.144388865547622,0,Person_Name_11,2017,Q1,0,0,1,14.255778718898966,13.022326665123144,15.144080886488553,17.207465929178458
3430,APAC,12.467792471622623,1,Person_Name_11,2017,Q1,0,0,0,14.255778718898966,13.022326665123144,15.144080886488553,17.207465929178458
3432,APAC,13.123362877737412,1,Person_Name_11,2017,Q1,0,1,0,14.255778718898966,13.022326665123144,15.144080886488553,17.207465929178458
4947,APAC,12.29355224621931,1,Person_Name_11,2017,Q1,1,1,0,14.255778718898966,13.022326665123144,15.144080886488553,17.207465929178458
16186,APAC,14.062331572632841,3,Person_Name_11,2017,Q1,1,1,0,14.255778718898966,13.022326665123144,15.144080886488553,17.207465929178458
1179,APAC,10.477287975463508,0,Person_Name_11,2017,Q2,0,0,0,13.802682876290445,13.95609070175323,13.022326665123144,17.33436639527613
4200,APAC,14.062331572632841,3,Person_Name_11,2017,Q2,1,1,0,13.802682876290445,13.95609070175323,13.022326665123144,17.33436639527613
5758,APAC,7.979766885853068,0,Person_Name_11,2017,Q2,0,0,1,13.802682876290445,13.95609070175323,13.022326665123144,17.33436639527613
6385,APAC,9.263407092912875,0,Person_Name_11,2017,Q2,1,1,0,13.802682876290445,13.95609070175323,13.022326665123144,17.33436639527613
6404,APAC,9.384881741451174,0,Person_Name_11,2017,Q2,0,0,1,13.802682876290445,13.95609070175323,13.022326665123144,17.33436639527613
7938,APAC,6.559048504692582,0,Person_Name_11,2017,Q2,0,0,0,13.802682876290445,13.95609070175323,13.022326665123144,17.33436639527613
8362,APAC,8.852664927703866,0,Person_Name_11,2017,Q2,0,0,1,13.802682876290445,13.95609070175323,13.022326665123144,17.33436639527613
16858,APAC,15.415897634877956,9,Person_Name_11,2017,Q2,0,1,0,13.802682876290445,13.95609070175323,13.022326665123144,17.33436639527613
16859,APAC,15.21546124553165,0,Person_Name_11,2017,Q2,0,1,0,13.802682876290445,13.95609070175323,13.022326665123144,17.33436639527613
3435,APAC,14.410769237705095,4,Person_Name_11,2017,Q3,0,1,0,13.967495859036921,12.736186551536834,13.95609070175323,17.28859875134486
3440,APAC,14.120934311892212,3,Person_Name_11,2017,Q3,0,1,0,13.967495859036921,12.736186551536834,13.95609070175323,17.28859875134486
4066,APAC,11.220914034357218,0,Person_Name_11,2017,Q3,1,1,0,13.967495859036921,12.736186551536834,13.95609070175323,17.28859875134486
4136,APAC,12.491251587763836,1,Person_Name_11,2017,Q3,0,1,0,13.967495859036921,12.736186551536834,13.95609070175323,17.28859875134486
