,Region,Total_Amount,Años en entregar,Month Created,Product_Name,Opportunity_Owner,Delivery_Year,Delivery_Quarter,"Pricing, Delivery_Terms_Approved","Pricing, Delivery_Terms_Quote_Appr",Decision,Promedio_Region_Por_Quarter,Promedio_Owner_Por_Year_And_Quarter,Lag_1,Delta
489,EMEA,2.77333214076898,0,2,Other,Other,2016,Q1,0,1,0,2.496125629200764,2.5856401937169373,,3.0884014028524405
404,EMEA,2.740425476271496,0,2,Product_Name_210,Other,2017,Q2,1,1,0,2.4867979215085256,2.5458025765189447,2.5856401937169373,2.09824702851948
458,EMEA,2.9993793487642098,0,3,Product_Name_432,Other,2017,Q3,1,1,0,2.4997765226129656,2.8526098013074597,2.5458025765189447,2.58397411817641
13064,APAC,2.7804623347491866,0,7,Other,Other,2018,Q4,0,0,0,2.4488721407977243,2.5942361898228445,2.8526098013074597,1.552569324320571
10463,APAC,2.647444135196672,0,2,Product_Name_91,Person_Name_11,2016,Q1,1,1,1,2.467621461867215,2.468683795270938,,3.019306553356067
13419,APAC,2.6671123535626275,1,4,Product_Name_162,Person_Name_11,2016,Q1,0,1,0,2.467621461867215,2.468683795270938,,3.019306553356067
13429,APAC,2.76662693715868,1,6,Product_Name_154,Person_Name_11,2016,Q1,0,1,0,2.467621461867215,2.468683795270938,,3.019306553356067
13444,APAC,2.5099754860504606,1,10,Product_Name_77,Person_Name_11,2016,Q1,0,0,0,2.467621461867215,2.468683795270938,,3.019306553356067
13447,APAC,2.773169699516785,1,10,Product_Name_96,Person_Name_11,2016,Q1,0,0,0,2.467621461867215,2.468683795270938,,3.019306553356067
10469,APAC,2.902757685451929,0,2,Product_Name_99,Person_Name_11,2016,Q2,0,1,0,2.4376208909034154,2.5519483814896895,2.468683795270938,2.271649026404691
13415,APAC,2.7724018614347727,1,4,Product_Name_96,Person_Name_11,2016,Q2,0,1,0,2.4376208909034154,2.5519483814896895,2.468683795270938,2.271649026404691
13445,APAC,2.525348474563428,1,10,Product_Name_162,Person_Name_11,2016,Q2,1,1,1,2.4376208909034154,2.5519483814896895,2.468683795270938,2.271649026404691
10620,APAC,2.663482845844212,0,6,Product_Name_167,Person_Name_11,2016,Q3,0,1,1,2.4008403866939045,2.5843747386148617,2.5519483814896895,2.207516774191485
13418,APAC,2.7724018614347727,1,4,Product_Name_96,Person_Name_11,2016,Q3,0,1,0,2.4008403866939045,2.5843747386148617,2.5519483814896895,2.207516774191485
13430,APAC,2.8702918605810845,1,6,Product_Name_99,Person_Name_11,2016,Q3,0,1,0,2.4008403866939045,2.5843747386148617,2.5519483814896895,2.207516774191485
10464,APAC,2.8483682330762177,0,2,Product_Name_99,Person_Name_11,2016,Q4,0,1,0,2.4488721407977243,2.593909696994916,2.5843747386148617,2.174431327810204
10465,APAC,2.973409751708449,0,2,Product_Name_286,Person_Name_11,2016,Q4,1,1,0,2.4488721407977243,2.593909696994916,2.5843747386148617,2.174431327810204
10621,APAC,2.559164677496258,0,6,Product_Name_104,Person_Name_11,2016,Q4,0,1,1,2.4488721407977243,2.593909696994916,2.5843747386148617,2.174431327810204
10622,APAC,2.93695509087919,0,6,Product_Name_307,Person_Name_11,2016,Q4,0,1,0,2.4488721407977243,2.593909696994916,2.5843747386148617,2.174431327810204
10625,APAC,2.8156629852477937,0,6,Other,Person_Name_11,2016,Q4,0,0,0,2.4488721407977243,2.593909696994916,2.5843747386148617,2.174431327810204
10709,APAC,2.7540614938326238,0,7,Product_Name_96,Person_Name_11,2016,Q4,1,1,0,2.4488721407977243,2.593909696994916,2.5843747386148617,2.174431327810204
10760,APAC,2.7138143169040028,0,8,Product_Name_154,Person_Name_11,2016,Q4,0,1,1,2.4488721407977243,2.593909696994916,2.5843747386148617,2.174431327810204
10931,APAC,2.5965404844743194,0,11,Product_Name_274,Person_Name_11,2016,Q4,1,1,1,2.4488721407977243,2.593909696994916,2.5843747386148617,2.174431327810204
10952,APAC,2.6446177786613094,0,11,Product_Name_310,Person_Name_11,2016,Q4,1,1,1,2.4488721407977243,2.593909696994916,2.5843747386148617,2.174431327810204
13416,APAC,2.869434816449844,1,4,Product_Name_99,Person_Name_11,2016,Q4,0,1,0,2.4488721407977243,2.593909696994916,2.5843747386148617,2.174431327810204
10384,APAC,2.387340227564136,0,2,Product_Name_192,Person_Name_11,2017,Q1,0,0,1,2.467621461867215,2.486429290544646,2.593909696994916,1.9887626234068245
10626,APAC,2.7218156022550937,1,6,Product_Name_107,Person_Name_11,2017,Q1,0,0,0,2.467621461867215,2.486429290544646,2.593909696994916,1.9887626234068245
10628,APAC,2.7640195561987055,1,6,Product_Name_96,Person_Name_11,2017,Q1,0,1,0,2.467621461867215,2.486429290544646,2.593909696994916,1.9887626234068245
10930,APAC,2.7102922513145624,1,11,Product_Name_149,Person_Name_11,2017,Q1,1,1,0,2.467621461867215,2.486429290544646,2.593909696994916,1.9887626234068245
13421,APAC,2.8215245786949255,2,4,Product_Name_110,Person_Name_11,2017,Q1,1,1,0,2.467621461867215,2.486429290544646,2.593909696994916,1.9887626234068245
10328,APAC,2.581534462007561,0,2,Product_Name_77,Person_Name_11,2017,Q2,0,0,0,2.4376208909034154,2.327220220219822,2.486429290544646,1.9317120963688732
